Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,522,1573,1565,3295,4397,5271,15,9483,0.000%,.81478,25.90,0.27
Open predefined date,5079,1590,1609,3202,3957,5250,11,5822,0.000%,8.06055,251.17,2.79
HomePage,2551,1598,1618,3212,3960,5243,14,5825,0.000%,4.04935,128.93,1.37
Search by name,5041,1586,1611,3184,3904,5243,16,5787,0.000%,8.00034,255.58,3.02
Get random date,1701,0,0,1,1,1,0,52,0.000%,2.72071,0.00,0.00
Open a random date,1701,1591,1612,3214,3958,5230,9,5799,0.000%,2.70019,80.24,0.94
Open Large Calendar,1688,1604,1635,3197,3933,5307,31,5804,0.000%,2.68023,268.65,1.02
Stay at the same page,3732,0,0,1,1,1,0,28,0.000%,5.98941,27.63,0.00
Open the first post,2088,1590,1612,3186,3912,5244,12,5852,0.000%,3.33097,85.14,1.16
Open a random post,3883,1589,1608,3191,3922,5236,12,5980,0.000%,6.19335,160.61,2.17
Open Contacts,844,1583,1598,3185,3880,5212,10,5771,0.000%,1.34873,28.20,0.45
Open Random Page,3781,1605,1627,3197,3920,5251,11,5751,0.000%,6.04256,185.20,2.10
Add Comment,1185,1572,1592,3143,3888,5207,4,5734,0.000%,1.90058,0.42,4.20
TOTAL,33796,1336,1216,3022,3761,5223,0,9483,0.000%,52.69222,1468.59,19.07
