Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,617,256,85,678,949,1556,8,3415,0.000%,1.05050,29.96,0.34
Open predefined date,6826,262,112,681,929,1496,7,2153,0.000%,11.64513,340.66,4.04
Search by name,6805,254,101,670,909,1451,7,2015,0.000%,11.61513,335.08,4.38
Open Random Page,5105,264,109,687,940,1469,7,3565,0.000%,8.73067,257.61,3.03
HomePage,3421,270,120,691,952,1571,7,4300,0.000%,5.85503,167.01,1.98
Open a random post,5268,267,116,697,938,1477,7,3394,0.000%,9.02726,227.72,3.16
Stay at the same page,5064,0,0,0,1,1,0,16,0.000%,8.72580,40.76,0.00
Get random date,2281,0,0,1,1,1,0,22,0.000%,3.93216,0.00,0.00
Open a random date,2281,269,116,696,982,1602,6,2161,0.000%,3.91905,91.54,1.36
Open the first post,2836,266,121,695,933,1467,7,2169,0.000%,4.87925,123.72,1.71
Open Large Calendar,2273,259,111,677,915,1481,9,2016,0.000%,3.91813,108.52,1.50
Open Contacts,1136,258,106,669,915,1468,6,1922,0.000%,1.96400,40.22,0.66
Add Comment,1615,253,108,672,891,1412,3,2188,0.000%,2.81753,0.62,6.23
TOTAL,45528,220,62,646,869,1443,0,4300,0.000%,77.23928,1747.62,28.01
