Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,383,1776,1702,3878,4451,4910,15,8053,0.000%,.67790,21.53,0.22
Search by name,1874,1855,1840,3722,4318,4949,16,5064,0.000%,3.36984,107.72,1.27
Open predefined date,1872,1828,1852,3667,4156,4889,11,5110,0.000%,3.36771,104.94,1.17
Open a random date,1850,1832,1852,3693,4155,4701,10,5120,0.000%,3.32943,100.45,1.15
Open Contacts,1867,1850,1845,3723,4148,4728,10,5084,0.000%,3.35720,70.20,1.13
Open Random Page,5508,1845,1853,3732,4177,4880,11,5161,0.000%,9.92788,300.58,3.45
HomePage,1840,1871,1865,3757,4227,4812,14,5049,0.000%,3.32075,105.73,1.12
Open the first post,2280,1839,1848,3697,4172,4773,12,5073,0.000%,4.11949,105.93,1.44
Open a random post,2238,1881,1853,3743,4256,4938,12,5079,0.000%,4.04111,104.68,1.41
Add Comment,2240,1836,1839,3714,4226,4866,5,5139,0.000%,4.04776,0.89,8.95
Open Large Calendar,1918,1910,1881,3796,4307,4943,33,5157,0.000%,3.47416,348.23,1.33
TOTAL,23870,1852,1853,3726,4207,4895,5,8053,0.000%,42.22626,1344.35,22.20
