Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,443,191,54,639,759,1146,8,1916,0.000%,.93200,28.38,0.31
Open a random date,2657,219,67,662,766,1446,5,1990,0.000%,5.61311,144.85,1.95
Open Large Calendar,2585,235,85,674,767,1341,9,2034,0.000%,5.46811,151.44,2.09
Open Random Page,7821,216,69,658,750,1366,6,2037,0.000%,16.54958,475.70,5.75
Open predefined date,2645,212,65,658,772,1351,6,2072,0.000%,5.61921,167.37,1.95
Open a random post,3049,216,64,672,766,1296,6,1984,0.000%,6.48088,164.52,2.27
Add Comment,3037,209,64,656,745,1264,3,1979,0.000%,6.48982,1.43,14.35
HomePage,2560,215,72,656,740,1288,7,2044,0.000%,5.47693,166.80,1.85
Open the first post,3045,220,74,654,748,1364,6,2009,0.000%,6.52567,164.02,2.28
Open Contacts,2663,216,67,665,755,1456,6,1993,0.000%,5.71120,116.97,1.92
Search by name,2625,230,75,673,790,1370,7,2013,0.000%,5.65124,173.73,2.13
TOTAL,33130,218,69,662,759,1361,3,2072,0.000%,69.63346,1734.10,36.32
