Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,506,1495,1456,3091,3487,4117,14,4441,0.000%,.80263,25.73,0.26
Open predefined date,4927,1587,1541,3130,3695,4179,11,4461,0.000%,7.84825,242.71,2.72
Search by name,4890,1588,1541,3133,3715,4183,16,4550,0.000%,7.78940,247.85,2.94
Open Random Page,3687,1570,1527,3125,3671,4179,11,4441,0.000%,5.88304,179.65,2.04
HomePage,2476,1597,1561,3131,3705,4174,13,4506,0.000%,3.95565,126.81,1.34
Open a random post,3764,1587,1544,3124,3705,4165,12,4453,0.000%,6.01653,155.38,2.10
Get random date,1650,0,0,1,1,7,0,40,0.000%,2.66489,0.00,0.00
Open a random date,1650,1589,1546,3121,3709,4164,11,4484,0.000%,2.64591,82.42,0.92
Open Large Calendar,1638,1607,1565,3146,3726,4193,31,4544,0.000%,2.62643,262.96,1.00
Open the first post,2024,1588,1541,3131,3686,4179,12,4462,0.000%,3.24536,82.54,1.13
Open Contacts,819,1586,1533,3122,3705,4161,10,4434,0.000%,1.32094,27.47,0.44
Stay at the same page,3595,0,0,1,1,1,0,6,0.000%,5.84250,27.05,0.00
Add Comment,1149,1574,1533,3107,3653,4180,4,4449,0.000%,1.86086,0.41,4.11
TOTAL,32775,1331,1009,3082,3477,4157,0,4550,0.000%,51.94391,1448.81,18.81
