Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main Page,203,440,226,1085,1365,1653,15,1747,0.000%,.66451,20.87,0.22
Open Contacts,927,491,344,1166,1378,1663,10,1826,0.000%,3.04763,63.37,1.02
Open a random date,926,499,373,1179,1442,1724,11,1872,0.000%,3.05778,93.67,1.06
Open Random Page,2730,489,342,1162,1389,1686,11,1899,0.000%,9.05229,275.39,3.15
Open predefined date,936,487,350,1120,1363,1737,11,1832,0.000%,3.11150,95.13,1.08
Search by name,923,506,347,1214,1450,1743,16,1850,0.000%,3.08119,95.08,1.16
Open the first post,1130,520,425,1195,1421,1697,12,1951,0.000%,3.78240,97.75,1.32
Open a random post,1150,494,328,1168,1449,1707,12,1859,0.000%,3.86689,99.52,1.35
HomePage,900,493,321,1140,1438,1713,13,1804,0.000%,3.02805,95.12,1.02
Add Comment,1133,484,340,1162,1361,1668,4,1790,0.000%,3.81252,0.84,8.43
Open Large Calendar,966,527,379,1192,1465,1729,31,1924,0.000%,3.32519,332.91,1.27
TOTAL,11924,497,349,1168,1409,1701,4,1951,0.000%,38.97827,1236.32,20.57
